date,kode_saham,open,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,non_regular_volume,non_regular_value,non_regular_frequency
8/1/2019,ACES,1835,1835,1755,1755,-80,12070500,21377944500,3805,2140.2,1760,1800,1755,668000,17150000000,17150000000,17150000000,8486200,4504000,8296737,14985147595,4
8/2/2019,ACES,1755,1785,1715,1715,-40,13368500,23386697500,3661,2091.5,1720,10000,1715,290700,17150000000,17150000000,17150000000,10324600,5412400,1239894,2139563742,3
8/5/2019,ACES,1715,1755,1655,1685,-30,5211200,8775850500,3026,2054.9,1685,99900,1680,42300,17150000000,17150000000,17150000000,3185200,538500,3700079,6456633115,2
8/6/2019,ACES,1685,1700,1650,1700,15,6663100,11217592500,2205,2073.2,1700,2295600,1695,15700,17150000000,17150000000,17150000000,3917100,2357700,3200000,5341600000,2
8/7/2019,ACES,1700,1735,1705,1715,15,8206100,14096840500,1694,2091.5,1730,4600,1715,988000,17150000000,17150000000,17150000000,6183600,3876400,14396000,24685600000,12
8/8/2019,ACES,1715,1735,1675,1720,5,10489100,17781412500,3202,2097.6,1720,62400,1715,69900,17150000000,17150000000,17150000000,2524300,4691900,4508100,7750511000,10
8/9/2019,ACES,1720,1735,1710,1725,5,5346500,9207794000,2593,2103.7,1730,454200,1725,200,17150000000,17150000000,17150000000,1233000,2341700,4863700,8293302100,5
8/12/2019,ACES,1725,1755,1725,1735,10,4916000,8537570500,1749,2115.9,1740,57400,1735,329000,17150000000,17150000000,17150000000,1703400,1704000,6076400,10453312400,4
8/13/2019,ACES,1735,1745,1705,1740,5,5643100,9784223500,2183,2122,1740,209800,1735,6500,17150000000,17150000000,17150000000,3537300,2563600,1035100,1795898500,1
8/14/2019,ACES,1740,1760,1725,1735,-5,10829300,18810579500,2870,2115.9,1735,10100,1730,7100,17150000000,17150000000,17150000000,5158700,8400300,2722700,4641361800,3
8/15/2019,ACES,1735,1735,1715,1735,0,12230300,21085852500,1940,2115.9,1735,45000,1725,2544400,17150000000,17150000000,17150000000,6475200,10803200,0,0,0
8/16/2019,ACES,1735,1750,1725,1745,10,7843600,13590525000,3185,2128,1745,39100,1740,20000,17150000000,17150000000,17150000000,6676200,7065400,9622242,16619440640,21
8/19/2019,ACES,1745,1785,1745,1770,25,21333200,37807607000,4394,2158.5,1775,71900,1770,325600,17150000000,17150000000,17150000000,10539900,17242200,3843333,6750466620,5
8/20/2019,ACES,1770,1820,1770,1790,20,17395100,31442673000,4954,2182.9,1800,5000,1790,144500,17150000000,17150000000,17150000000,6781400,12322300,0,0,0
8/21/2019,ACES,1790,1810,1755,1780,-10,11661500,20686312000,6016,2170.7,1785,33300,1780,64800,17150000000,17150000000,17150000000,6316200,8610100,2544300,4600525500,17
8/22/2019,ACES,1780,1785,1760,1780,0,23179300,41066365500,5857,2170.7,1780,4500,1775,100,17150000000,17150000000,17150000000,21304000,21547800,592400,1060436000,5
8/23/2019,ACES,1780,1800,1760,1760,-20,9645200,17094417500,5255,2146.3,1770,2000,1760,316700,17150000000,17150000000,17150000000,8679300,9026900,386900,685199900,1
